specimen_number,specimen_id,collection_group,date_of_collection,intertidal_zone,time_of_collection,internal_temp(c),pool_temp(c),salinity(ppt),num_cells_per_ug_protein,ng_chlorophyll_per_ug_protein,date_time,doy,compatible_date
258,12.0,5.0,2022-09-07,middle,0522,,,,1866.33518,168.4474166,2022-09-07,250,2022-09-07
259,13.0,5.0,2022-09-07,middle,0525,,,,1785.829846,78.19664075,2022-09-07,250,2022-09-07
256,9.0,5.0,2022-09-07,low,0512,,,,1394.994699,110.1868551,2022-09-07,250,2022-09-07
261,15.0,5.0,2022-09-07,middle,0544,,,,1385.87175,94.81069773,2022-09-07,250,2022-09-07
262,37.0,5.0,2022-09-07,middle,0550,,13.2,35.0,979.9608551,108.3307674,2022-09-07,250,2022-09-07
260,27.0,5.0,2022-09-07,middle,0531,,,,733.5173908,63.0435434,2022-09-07,250,2022-09-07
255,10.0,5.0,2022-09-07,low,0510,,,,1608.296112,61.76437069,2022-09-07,250,2022-09-07
250,4.0,5.0,2022-09-07,low,0433,14.2,,,1533.688186,126.1639657,2022-09-07,250,2022-09-07
253,8.0,5.0,2022-09-07,low,0457,,13.9,34.0,664.406222,64.10179962,2022-09-07,250,2022-09-07
252,6.0,5.0,2022-09-07,low,0452,,13.8,34.0,1505.994425,104.3285485,2022-09-07,250,2022-09-07
251,5.0,5.0,2022-09-07,low,0450,,13.8,34.0,1337.351137,119.3824439,2022-09-07,250,2022-09-07
249,3.0,5.0,2022-09-07,low,0430,14.1,,,1797.282346,142.2600576,2022-09-07,250,2022-09-07
248,2.0,5.0,2022-09-07,low,0420,,13.9,33.0,803.4519151,80.95979631,2022-09-07,250,2022-09-07
247,1.0,5.0,2022-09-07,low,0418,,13.9,33.0,217.6997565,16.85717233,2022-09-07,250,2022-09-07
254,7.0,5.0,2022-09-07,low,0457,,13.9,34.0,796.7244267,48.98717555,2022-09-07,250,2022-09-07
277,21.0,6.0,2022-09-23,middle,,,14.6,35.0,1010.51965,20.80001443,2022-09-23,266,2022-09-23
278,20.0,6.0,2022-09-23,middle,,,,,1538.686503,22.22436781,2022-09-23,266,2022-09-23
279,20.0,6.0,2022-09-23,middle,,,,,1301.192543,20.73901497,2022-09-23,266,2022-09-23
280,29.0,6.0,2022-09-23,high,,,14.3,35.0,1614.140776,72.40073718,2022-09-23,266,2022-09-23
285,22.0,6.0,2022-09-23,high,,,14.3,35.0,1795.315725,89.03994718,2022-09-23,266,2022-09-23
283,23.0,6.0,2022-09-23,high,,,14.3,35.0,1406.477664,85.26931357,2022-09-23,266,2022-09-23
284,22.0,6.0,2022-09-23,high,,,14.3,35.0,1597.732399,77.79735582,2022-09-23,266,2022-09-23
286,22.0,6.0,2022-09-23,high,,,14.3,35.0,1255.640312,73.9564712,2022-09-23,266,2022-09-23
287,24.0,6.0,2022-09-23,high,,,14.1,36.0,875.8766815,52.63788841,2022-09-23,266,2022-09-23
281,29.0,6.0,2022-09-23,high,,,14.3,35.0,1429.4157,50.00427379,2022-09-23,266,2022-09-23
275,16.0,6.0,2022-09-23,middle,,,14.6,35.0,1315.979124,52.00187434,2022-09-23,266,2022-09-23
276,21.0,6.0,2022-09-23,middle,,,14.6,35.0,1063.345235,30.8010586,2022-09-23,266,2022-09-23
273,15.0,6.0,2022-09-23,middle,,,14.6,35.0,1448.537525,86.28781156,2022-09-23,266,2022-09-23
274,21.0,6.0,2022-09-23,middle,,,14.6,35.0,978.0082324,56.58643957,2022-09-23,266,2022-09-23
264,7.0,6.0,2022-09-23,low,,,15.2,35.0,424.6131337,28.56676524,2022-09-23,266,2022-09-23
265,18.0,6.0,2022-09-23,middle,,,15.1,35.0,900.9927064,53.08326742,2022-09-23,266,2022-09-23
266,18.0,6.0,2022-09-23,middle,,,15.1,35.0,1008.011481,73.75127885,2022-09-23,266,2022-09-23
267,11.0,6.0,2022-09-23,middle,,14.3,,,1499.541668,81.84093023,2022-09-23,266,2022-09-23
263,7.0,6.0,2022-09-23,low,,,15.2,35.0,769.4503059,22.81507648,2022-09-23,266,2022-09-23
269,13.0,6.0,2022-09-23,middle,,13.5,,,1305.759518,54.35578529,2022-09-23,266,2022-09-23
270,13.0,6.0,2022-09-23,middle,,13.5,,,2040.315977,90.51211592,2022-09-23,266,2022-09-23
271,26.0,6.0,2022-09-23,middle,,,14.6,35.0,827.7738257,56.08104807,2022-09-23,266,2022-09-23
272,15.0,6.0,2022-09-23,middle,,,14.6,35.0,1708.113254,83.27417787,2022-09-23,266,2022-09-23
268,11.0,6.0,2022-09-23,middle,,14.3,,,1483.041915,107.0692232,2022-09-23,266,2022-09-23
300,14.0,6.0,2022-09-24,middle,,,,,911.4330822,40.21177395,2022-09-24,267,2022-09-24
308,30.0,6.0,2022-09-24,high,,,,,354.5750495,27.23055202,2022-09-24,267,2022-09-24
307,30.0,6.0,2022-09-24,high,,,,,385.2857751,32.08724287,2022-09-24,267,2022-09-24
306,27.0,6.0,2022-09-24,middle,,,,,1236.074816,97.55175848,2022-09-24,267,2022-09-24
305,24.0,6.0,2022-09-24,high,,,14.3,35.0,790.8551844,51.33669821,2022-09-24,267,2022-09-24
304,24.0,6.0,2022-09-24,high,,,14.3,35.0,704.0054742,38.44232777,2022-09-24,267,2022-09-24
303,8.0,6.0,2022-09-24,low,,,,,423.2245419,47.44558685,2022-09-24,267,2022-09-24
302,8.0,6.0,2022-09-24,low,,,,,548.2794623,40.57869875,2022-09-24,267,2022-09-24
301,14.0,6.0,2022-09-24,middle,,,,,1337.152523,78.78668091,2022-09-24,267,2022-09-24
299,12.0,6.0,2022-09-24,middle,,,,,1457.411896,137.8318687,2022-09-24,267,2022-09-24
288,2.0,6.0,2022-09-24,low,,,,,722.0389542,44.86763307,2022-09-24,267,2022-09-24
297,18.0,6.0,2022-09-24,middle,,,,,960.4066158,61.4625861,2022-09-24,267,2022-09-24
289,1.0,6.0,2022-09-24,low,,,,,340.5015328,29.61544327,2022-09-24,267,2022-09-24
290,3.0,6.0,2022-09-24,low,,,,,1127.74238,47.55282561,2022-09-24,267,2022-09-24
291,3.0,6.0,2022-09-24,low,,,,,1414.637677,94.63541423,2022-09-24,267,2022-09-24
298,18.0,6.0,2022-09-24,middle,,,,,1160.626731,71.67220298,2022-09-24,267,2022-09-24
294,9.0,6.0,2022-09-24,low,,,,,930.5629871,20.54598188,2022-09-24,267,2022-09-24
295,9.0,6.0,2022-09-24,low,,,,,827.5586955,14.1945818,2022-09-24,267,2022-09-24
296,9.0,6.0,2022-09-24,low,,,,,1401.340556,82.52903478,2022-09-24,267,2022-09-24
292,6.0,6.0,2022-09-24,low,,,,,1747.127108,113.9692916,2022-09-24,267,2022-09-24
371,16.0,8.0,2022-10-27,middle,,,,,1178.850819,65.87436135,2022-10-27,300,2022-10-27
380,34.0,8.0,2022-10-27,high,,,,,985.3528206,63.57721866,2022-10-27,300,2022-10-27
378,33.0,8.0,2022-10-27,high,,,,,1088.563775,72.72884968,2022-10-27,300,2022-10-27
377,35.0,8.0,2022-10-27,high,,,,,1295.78555,60.8650827,2022-10-27,300,2022-10-27
376,24.0,8.0,2022-10-27,high,,,,,660.2207829,40.75058104,2022-10-27,300,2022-10-27
375,30.0,8.0,2022-10-27,high,,,,,760.06448,69.21245811,2022-10-27,300,2022-10-27
374,29.0,8.0,2022-10-27,high,,,,,1729.278544,117.3122808,2022-10-27,300,2022-10-27
372,21.0,8.0,2022-10-27,middle,,,,,1829.823818,58.70415801,2022-10-27,300,2022-10-27
370,14.0,8.0,2022-10-27,middle,,,,,897.8593733,55.1896633,2022-10-27,300,2022-10-27
373,22.0,8.0,2022-10-27,high,,,,,1271.792377,87.97400892,2022-10-27,300,2022-10-27
368,11.0,8.0,2022-10-27,middle,,,,,1309.792566,68.0151266,2022-10-27,300,2022-10-27
369,13.0,8.0,2022-10-27,middle,,,,,2029.670912,94.76226563,2022-10-27,300,2022-10-27
360,31.0,8.0,2022-10-27,high,,,,,2025.955278,87.19582253,2022-10-27,300,2022-10-27
362,4.0,8.0,2022-10-27,low,,,,,1099.829438,88.50494488,2022-10-27,300,2022-10-27
363,28.0,8.0,2022-10-27,low,,,,,1171.279692,59.08882911,2022-10-27,300,2022-10-27
361,3.0,8.0,2022-10-27,low,,,,,1234.101751,92.73401103,2022-10-27,300,2022-10-27
365,18.0,8.0,2022-10-27,middle,,,,,1568.482725,43.53968646,2022-10-27,300,2022-10-27
366,17.0,8.0,2022-10-27,middle,,,,,1955.767861,50.35395759,2022-10-27,300,2022-10-27
367,19.0,8.0,2022-10-27,middle,,,,,2867.055048,159.2082059,2022-10-27,300,2022-10-27
364,27.0,8.0,2022-10-27,middle,,,,,544.2055361,52.56836034,2022-10-27,300,2022-10-27
381,25.0,8.0,2022-10-28,high,,,,,879.9427869,42.00529412,2022-10-28,301,2022-10-28
382,30.0,8.0,2022-10-28,high,,,,,535.567551,15.92960174,2022-10-28,301,2022-10-28
401,18.0,9.0,2022-11-08,middle,,,,,1323.305956,55.06842556,2022-11-08,312,2022-11-08
405,12.0,9.0,2022-11-08,middle,,,,,1881.818396,85.01443095,2022-11-08,312,2022-11-08
402,17.0,9.0,2022-11-08,middle,,,,,1813.174183,70.65189405,2022-11-08,312,2022-11-08
403,19.0,9.0,2022-11-08,middle,,,,,1369.25408,22.1143604,2022-11-08,312,2022-11-08
404,11.0,9.0,2022-11-08,middle,,,,,1514.992527,94.0379872,2022-11-08,312,2022-11-08
406,7.0,9.0,2022-11-08,low,,,,,868.1679635,95.00527796,2022-11-08,312,2022-11-08
411,3.0,9.0,2022-11-08,low,,,,,969.0798475,88.39319134,2022-11-08,312,2022-11-08
412,4.0,9.0,2022-11-08,low,,,,,1158.637646,26.11254599,2022-11-08,312,2022-11-08
408,5.0,9.0,2022-11-08,low,,,,,1528.921866,114.1934387,2022-11-08,312,2022-11-08
409,6.0,9.0,2022-11-08,low,,,,,2474.219988,183.0522127,2022-11-08,312,2022-11-08
410,28.0,9.0,2022-11-08,low,,,,,2183.553211,144.4273429,2022-11-08,312,2022-11-08
400,14.0,9.0,2022-11-08,middle,,,,,1204.360515,59.30051461,2022-11-08,312,2022-11-08
407,8.0,9.0,2022-11-08,low,,,,,680.7971674,16.68766465,2022-11-08,312,2022-11-08
399,13.0,9.0,2022-11-08,middle,,,,,2078.91862,108.8962023,2022-11-08,312,2022-11-08
387,25.0,9.0,2022-11-08,high,,,12.5,35.0,731.1956102,36.64165359,2022-11-08,312,2022-11-08
396,37.0,9.0,2022-11-08,middle,,,,,1940.727933,130.5843233,2022-11-08,312,2022-11-08
398,27.0,9.0,2022-11-08,middle,,,,,374.5380571,44.08894682,2022-11-08,312,2022-11-08
384,33.0,9.0,2022-11-08,high,,,,,741.887786,46.96255123,2022-11-08,312,2022-11-08
385,31.0,9.0,2022-11-08,high,,,12.3,35.0,1062.602928,33.35875563,2022-11-08,312,2022-11-08
386,24.0,9.0,2022-11-08,high,,,12.5,35.0,1391.031432,71.14582553,2022-11-08,312,2022-11-08
388,30.0,9.0,2022-11-08,high,,,12.4,35.0,1026.462963,10.67869451,2022-11-08,312,2022-11-08
389,22.0,9.0,2022-11-08,high,,,,,1542.060534,72.92798179,2022-11-08,312,2022-11-08
383,34.0,9.0,2022-11-08,high,,,,,1232.991027,53.55777677,2022-11-08,312,2022-11-08
391,21.0,9.0,2022-11-08,middle,,,,,2320.294222,19.25717701,2022-11-08,312,2022-11-08
392,16.0,9.0,2022-11-08,middle,,,,,2110.092669,40.37002821,2022-11-08,312,2022-11-08
393,15.0,9.0,2022-11-08,middle,,,,,1808.537459,86.79401167,2022-11-08,312,2022-11-08
394,26.0,9.0,2022-11-08,middle,,,,,2743.691985,21.52001916,2022-11-08,312,2022-11-08
395,36.0,9.0,2022-11-08,middle,,,,,956.8822212,64.74014673,2022-11-08,312,2022-11-08
390,20.0,9.0,2022-11-08,middle,,,,,2297.227327,32.61539995,2022-11-08,312,2022-11-08
428,32.0,10.0,2022-11-23,middle,,,12.1,35.0,535.6688745,82.70571815,2022-11-23,327,2022-11-23
429,10.0,10.0,2022-11-23,low,,,12.3,36.0,1028.052187,33.94783701,2022-11-23,327,2022-11-23
430,9.0,10.0,2022-11-23,low,,,12.3,36.0,686.0080068,81.99000122,2022-11-23,327,2022-11-23
431,7.0,10.0,2022-11-23,low,,,12.2,36.0,308.7270926,36.47364789,2022-11-23,327,2022-11-23
432,8.0,10.0,2022-11-23,low,,,12.2,36.0,491.9424977,23.46364154,2022-11-23,327,2022-11-23
435,6.0,10.0,2022-11-23,low,,,12.3,36.0,1199.777704,126.2437461,2022-11-23,327,2022-11-23
434,5.0,10.0,2022-11-23,low,,,12.3,36.0,991.1115389,128.8009174,2022-11-23,327,2022-11-23
436,3.0,10.0,2022-11-23,low,,12.1,,,786.2966521,129.6783146,2022-11-23,327,2022-11-23
437,4.0,10.0,2022-11-23,low,,12.3,,,323.9652491,22.91803828,2022-11-23,327,2022-11-23
427,12.0,10.0,2022-11-23,middle,,12.1,,,708.2287639,87.45985811,2022-11-23,327,2022-11-23
433,28.0,10.0,2022-11-23,low,,12.1,,,809.1011515,90.23693582,2022-11-23,327,2022-11-23
426,11.0,10.0,2022-11-23,middle,,12.1,,,589.3391024,66.81339273,2022-11-23,327,2022-11-23
424,17.0,10.0,2022-11-23,middle,,,12.3,35.0,846.6181461,123.2943675,2022-11-23,327,2022-11-23
425,18.0,10.0,2022-11-23,middle,,,12.3,35.0,0.0002872063145,3.974958462e-05,2022-11-23,327,2022-11-23
413,34.0,10.0,2022-11-23,high,,,12.2,34.0,620.8516181,46.38237373,2022-11-23,327,2022-11-23
414,24.0,10.0,2022-11-23,high,,,12.1,35.0,646.0929738,74.29166504,2022-11-23,327,2022-11-23
415,25.0,10.0,2022-11-23,high,,,,,302.7072013,34.2146212,2022-11-23,327,2022-11-23
417,30.0,10.0,2022-11-23,high,,12.2,,,835.2343497,21.2625648,2022-11-23,327,2022-11-23
418,31.0,10.0,2022-11-23,high,,,,,950.0308844,79.1128648,2022-11-23,327,2022-11-23
416,29.0,10.0,2022-11-23,high,,12.2,,,693.2241749,73.48635152,2022-11-23,327,2022-11-23
420,16.0,10.0,2022-11-23,middle,,12.3,,,696.1621658,60.60718833,2022-11-23,327,2022-11-23
421,26.0,10.0,2022-11-23,middle,,,12.7,35.0,929.3021607,79.52643473,2022-11-23,327,2022-11-23
422,14.0,10.0,2022-11-23,middle,,,,,851.4468041,65.90569994,2022-11-23,327,2022-11-23
423,19.0,10.0,2022-11-23,middle,,,12.3,35.0,718.7450067,96.21460267,2022-11-23,327,2022-11-23
419,20.0,10.0,2022-11-23,middle,,12.2,,,848.6248642,111.8635266,2022-11-23,327,2022-11-23
461,9.0,11.0,2022-12-06,low,,,11.9,36.0,2.611354912,82.07725487,2022-12-06,340,2022-12-06
457,19.0,11.0,2022-12-06,middle,,,11.8,37.0,680.2613795,43.86626731,2022-12-06,340,2022-12-06
458,11.0,11.0,2022-12-06,middle,,12.0,,,675.6241551,70.07698393,2022-12-06,340,2022-12-06
459,12.0,11.0,2022-12-06,middle,,12.0,,,1407.143859,111.4525997,2022-12-06,340,2022-12-06
460,10.0,11.0,2022-12-06,low,,,11.9,36.0,995.1116079,24.30386431,2022-12-06,340,2022-12-06
463,7.0,11.0,2022-12-06,low,,,11.5,38.0,398.6681545,47.05779555,2022-12-06,340,2022-12-06
470,23.0,11.0,2022-12-06,high,,,,,891.9323925,35.50765747,2022-12-06,340,2022-12-06
466,5.0,11.0,2022-12-06,low,,,11.7,37.0,943.8471595,33.4712842,2022-12-06,340,2022-12-06
467,6.0,11.0,2022-12-06,low,,,11.7,37.0,1006.044024,99.97925156,2022-12-06,340,2022-12-06
468,1.0,11.0,2022-12-06,low,,11.5,,,204.801702,12.20322748,2022-12-06,340,2022-12-06
469,2.0,11.0,2022-12-06,low,,11.5,,,445.9804323,32.19647059,2022-12-06,340,2022-12-06
456,17.0,11.0,2022-12-06,middle,,,11.8,37.0,429.3164013,68.58795107,2022-12-06,340,2022-12-06
471,31.0,11.0,2022-12-06,high,,,10.6,35.0,810.7612067,31.58565699,2022-12-06,340,2022-12-06
464,8.0,11.0,2022-12-06,low,,,11.5,38.0,463.0180668,37.06008979,2022-12-06,340,2022-12-06
455,18.0,11.0,2022-12-06,middle,,,11.8,37.0,682.1289652,29.91785673,2022-12-06,340,2022-12-06
465,28.0,11.0,2022-12-06,low,,11.2,,,864.4252921,75.61953371,2022-12-06,340,2022-12-06
453,13.0,11.0,2022-12-06,middle,,12.0,,,887.3256687,69.385834,2022-12-06,340,2022-12-06
454,14.0,11.0,2022-12-06,middle,,12.0,,,578.7192684,24.05348764,2022-12-06,340,2022-12-06
438,35.0,11.0,2022-12-06,high,,,11.7,34.0,614.3833251,34.28860603,2022-12-06,340,2022-12-06
439,34.0,11.0,2022-12-06,high,,,11.7,34.0,496.6591824,47.54823275,2022-12-06,340,2022-12-06
440,24.0,11.0,2022-12-06,high,,,11.5,35.0,573.6668223,52.42595799,2022-12-06,340,2022-12-06
441,25.0,11.0,2022-12-06,high,,,11.5,35.0,479.9178232,38.06773178,2022-12-06,340,2022-12-06
443,22.0,11.0,2022-12-06,high,,11.5,,,663.5140357,50.64964503,2022-12-06,340,2022-12-06
444,20.0,11.0,2022-12-06,middle,,11.7,,,305.8364532,53.66551173,2022-12-06,340,2022-12-06
462,26.0,11.0,2022-12-06,middle,,,121.0,35.0,514.393232,37.44497408,2022-12-06,340,2022-12-06
446,32.0,11.0,2022-12-06,middle,,,11.7,35.0,622.1865431,67.45121608,2022-12-06,340,2022-12-06
445,21.0,11.0,2022-12-06,middle,,11.8,,,934.7289179,94.3699727,2022-12-06,340,2022-12-06
448,15.0,11.0,2022-12-06,middle,,11.8,,,605.0838281,49.38286577,2022-12-06,340,2022-12-06
449,27.0,11.0,2022-12-06,middle,,,,,257.2038929,64.04346878,2022-12-06,340,2022-12-06
450,36.0,11.0,2022-12-06,middle,,,12.0,36.0,402.6520535,39.03451547,2022-12-06,340,2022-12-06
451,38.0,11.0,2022-12-06,middle,,,12.0,36.0,340.6180168,33.31436788,2022-12-06,340,2022-12-06
452,37.0,11.0,2022-12-06,middle,,,12.0,36.0,433.7238204,49.39986173,2022-12-06,340,2022-12-06
481,26.0,12.0,2023-01-06,middle,16:20,,12.6,34.0,756.6722792,38.4533696,2023-01-06,6,2023-01-06
487,11.0,12.0,2023-01-06,middle,16:40,,12.6,34.0,999.0016336,74.09297437,2023-01-06,6,2023-01-06
488,12.0,12.0,2023-01-06,middle,16:41,,12.6,34.0,635.4320845,47.84920471,2023-01-06,6,2023-01-06
489,7.0,12.0,2023-01-06,low,16:45,,12.6,34.0,380.0032801,5.216820899,2023-01-06,6,2023-01-06
490,8.0,12.0,2023-01-06,low,16:46,,12.6,34.0,257.230638,6.082392691,2023-01-06,6,2023-01-06
492,6.0,12.0,2023-01-06,low,16:53,,,,1013.899771,54.64228813,2023-01-06,6,2023-01-06
486,14.0,12.0,2023-01-06,middle,16:33,,12.6,34.0,887.01324,38.34651543,2023-01-06,6,2023-01-06
493,18.0,12.0,2023-01-06,middle,17:00,,,,740.9721988,42.66768495,2023-01-06,6,2023-01-06
494,17.0,12.0,2023-01-06,middle,17:01,,,,477.3018065,20.72396541,2023-01-06,6,2023-01-06
495,19.0,12.0,2023-01-06,middle,17:02,,,,365.382156,8.785923332,2023-01-06,6,2023-01-06
491,5.0,12.0,2023-01-06,low,16:50,,,,620.2016695,21.25538302,2023-01-06,6,2023-01-06
485,13.0,12.0,2023-01-06,middle,16:30,,12.6,34.0,879.309304,35.65305419,2023-01-06,6,2023-01-06
476,32.0,12.0,2023-01-06,middle,15:50,,12.6,34.0,419.7350966,5.161832666,2023-01-06,6,2023-01-06
483,37.0,12.0,2023-01-06,middle,16:20,,12.7,34.0,965.3850065,76.37821071,2023-01-06,6,2023-01-06
482,36.0,12.0,2023-01-06,middle,16:19,,12.7,34.0,671.0351862,12.78864696,2023-01-06,6,2023-01-06
480,15.0,12.0,2023-01-06,middle,16:15,,12.6,34.0,810.4746082,7.428115495,2023-01-06,6,2023-01-06
479,16.0,12.0,2023-01-06,middle,16:10,,12.6,34.0,981.1764524,46.73360041,2023-01-06,6,2023-01-06
478,20.0,12.0,2023-01-06,middle,16:00,,12.6,34.0,808.481636,52.05288973,2023-01-06,6,2023-01-06
477,21.0,12.0,2023-01-06,middle,15:55,,12.6,34.0,758.5929799,7.240667778,2023-01-06,6,2023-01-06
475,24.0,12.0,2023-01-06,high,15:45,,12.7,34.0,589.906065,30.23660249,2023-01-06,6,2023-01-06
474,25.0,12.0,2023-01-06,high,15:43,,12.7,34.0,535.171236,37.50854726,2023-01-06,6,2023-01-06
473,33.0,12.0,2023-01-06,high,15:40,,12.7,34.0,829.8705789,58.12889752,2023-01-06,6,2023-01-06
472,34.0,12.0,2023-01-06,high,15:37,,12.7,34.0,596.7348144,38.0928726,2023-01-06,6,2023-01-06
484,38.0,12.0,2023-01-06,middle,16:21,,12.7,34.0,471.1284462,37.78884606,2023-01-06,6,2023-01-06
508,16.0,13.0,2023-01-23,middle,18:28,,,,693.2448248,7.760468509,2023-01-23,23,2023-01-23
507,26.0,13.0,2023-01-23,middle,18:25,,,,674.1332379,18.99790294,2023-01-23,23,2023-01-23
509,32.0,13.0,2023-01-23,middle,18:30,,,,553.6968363,25.90956072,2023-01-23,23,2023-01-23
511,38.0,13.0,2023-01-23,middle,18:50,,10.4,37.0,334.4975974,10.48656697,2023-01-23,23,2023-01-23
512,36.0,13.0,2023-01-23,middle,18:55,,10.4,37.0,536.3701722,27.42681788,2023-01-23,23,2023-01-23
506,12.0,13.0,2023-01-23,middle,18:21,,,,685.8393184,36.71342719,2023-01-23,23,2023-01-23
510,34.0,13.0,2023-01-23,high,18:40,,,,462.8521932,22.18868449,2023-01-23,23,2023-01-23
505,11.0,13.0,2023-01-23,middle,18:20,,,,962.4380942,51.05625193,2023-01-23,23,2023-01-23
502,8.0,13.0,2023-01-23,low,18:06,,,,349.6498538,19.94992821,2023-01-23,23,2023-01-23
503,18.0,13.0,2023-01-23,middle,18:15,,,,679.3377131,22.0054938,2023-01-23,23,2023-01-23
504,17.0,13.0,2023-01-23,middle,18:16,,,,1142.324366,28.88823732,2023-01-23,23,2023-01-23
501,6.0,13.0,2023-01-23,low,17:59,,12.0,35.0,1210.141991,77.63707047,2023-01-23,23,2023-01-23
500,5.0,13.0,2023-01-23,low,17:58,,12.0,35.0,372.613995,24.74159499,2023-01-23,23,2023-01-23
