specimen_number,specimen_id,collection_group,date_of_collection,intertidal_zone,time_of_collection,internal_temp(c),pool_temp(c),salinity(ppt),num_cells_per_ug_protein,ng_chlorophyll_per_ug_protein
145,10,2.00,2022-07-30,low,0810,,15.5,35,1584.040206,21.70367267
146,9,2.00,2022-07-30,low,0811,,15.5,35,1473.127144,18.12551847
147,11,2.00,2022-07-30,medium,0820,,,,1202.162009,85.67830121
148,12,2.00,2022-07-30,medium,0822,15.2,,,1989.062092,125.0079716
149,19,2.00,2022-07-30,medium,0830,,15.5,34,1127.912783,3.573473696
150,17,2.00,2022-07-30,medium,0909,,15.5,34,988.203322,33.42135317
151,18,2.00,2022-07-30,medium,0834,,15.5,34,1089.922535,15.20232914
152,13,2.00,2022-07-30,medium,0840,16.4,,,994.3964001,44.87875361
153,26,2.00,2022-07-30,medium,0844,,15.6,34,1430.339415,61.45926166
154,15,2.00,2022-07-30,medium,0852,,15.6,34,1428.766173,77.32925309
155,21,2.00,2022-07-30,medium,0854,,15.7,34,924.2267744,9.568336989
156,20,2.00,2022-07-30,medium,0855,,15.7,34,848.4801808,6.619339182
157,16,2.00,2022-07-30,medium,0901,,15.6,34,946.7569358,23.79290307
158,7,2.00,2022-07-30,low,0908,,15.7,34,983.6787765,47.87651266
159,38,2.00,2022-07-30,medium,0919,,,,968.1084375,12.55066837
160,22,2.00,2022-07-30,high,0928,,16.1,34,1421.016194,7.904168667
161,23,2.00,2022-07-30,high,0930,,16.1,34,1657.252139,21.6494974
162,30,2.00,2022-07-30,high,0935,,16.1,34,490.8140378,21.27221962
163,29,2.00,2022-07-30,high,0938,,16.1,34,1022.577821,29.09171361
164,25,2.00,2022-07-30,high,0945,,15.6,35,469.3661079,26.93216235
165,24,2.00,2022-07-30,high,0945,,15.6,35,903.379793,18.41380084
166,4,3.00,2022-08-12,low,0801,17.5,,,194.7595053,34.89886176
167,5,3.00,2022-08-12,low,0814,,17.2,34,136.904604,15.99677872
168,6,3.00,2022-08-12,low,0815,,17.2,34,385.5404716,32.45194657
169,3,3.00,2022-08-12,low,0828,,,,385.9829098,55.39967204
170,7,3.00,2022-08-12,low,0834,,17.8,34,212.3254223,21.60685538
171,8,3.00,2022-08-12,low,0835,,17.8,34,235.5509979,16.02650088
172,27,3.00,2022-08-12,medium,0844,,17.6,34,366.7401774,41.78565123
173,29,3.00,2022-08-12,high,0855,,17.6,34,323.9836186,58.79233333
174,24,3.00,2022-08-12,high,0908,,16.9,34,161.9464405,41.8369025
175,1,3.00,2022-08-13,low,0835,,17.1,34,89.74972967,20.74945707
176,2,3.00,2022-08-13,low,0835,,17.1,34,237.9860647,13.10931332
177,16,3.00,2022-08-13,medium,0910,,17.1,33,264.7422934,69.15411729
178,15,3.00,2022-08-13,medium,0911,,17.1,33,377.8366505,90.8526733
179,26,3.00,2022-08-13,medium,0914,,17.1,33,245.0317289,91.97068757
180,21,3.00,2022-08-13,medium,0917,,17,33,78.9904157,15.06073049
181,20,3.00,2022-08-13,medium,0919,,17,33,235.270879,54.97627743
182,23,3.00,2022-08-13,high,0920,,17.4,35,149.0320925,29.66967972
183,23,3.00,2022-08-13,high,0828,13.8,,,97.96838125,72.07757071
184,30,3.00,2022-08-15,high,0831,14.6,,,218.9543408,56.32830075
185,10,3.00,2022-08-15,low,0849,,14.2,34,188.7400401,84.43385175
186,19,3.00,2022-08-15,medium,0858,,14.4,34,221.9469398,63.95644787
187,17,3.00,2022-08-15,medium,0859,,14.4,34,233.3949579,92.78689961
188,18,3.00,2022-08-15,medium,0903,,14.4,34,232.1043477,38.80713648
189,11,3.00,2022-08-15,medium,0903,,,,174.5335963,70.9085895
190,9,3.00,2022-08-15,low,0912,,14.2,34,200.9967144,77.14037883
191,13,3.00,2022-08-15,medium,0915,,15.7,34,78.06553054,91.95690339
192,12,3.00,2022-08-15,medium,0924,,15,34,282.2339224,148.7603885
193,24,3.00,2022-08-15,high,0935,,14.4,35,199.621014,71.48312565
194,25,3.00,2022-08-15,high,0937,,14.4,35,33.01955094,37.81269146
195,22,3.00,2022-08-15,high,0943,,15.7,34,160.1505153,85.4984983
196,36,3.00,2022-08-15,medium,0950,,16.6,34,193.8889627,60.74045189
197,1,4.00,2022-08-27,low,0635,,14.7,35,297.1462177,12.43931228
198,2,4.00,2022-08-27,low,0637,,14.7,35,270.8601223,7.803771881
199,3,4.00,2022-08-27,low,0647,,14.5,35,2336.40302,24.52705872
200,4,4.00,2022-08-27,low,0649,,14.5,35,1079.883735,62.0101231
201,5,4.00,2022-08-27,low,0700,,14.3,36,1749.898902,27.20439
202,6,4.00,2022-08-27,low,0703,,14.3,36,3140.534563,83.6734564
203,6,4.00,2022-08-27,low,0703,,14.3,36,1967.920083,94.82951315
204,28,4.00,2022-08-27,low,0711,,14.3,36,3710.957983,41.99471649
205,7,4.00,2022-08-27,low,0715,,14.3,35,1696.712943,60.83022192
206,8,4.00,2022-08-27,low,0719,,14.3,35,1206.66422,25.21170391
207,10,4.00,2022-08-27,low,0725,,14.5,36,1200.122177,61.45422582
208,9,4.00,2022-08-27,low,0728,,14.5,36,1057.835206,35.44519768
209,27,4.00,2022-08-27,medium,0735,,14.3,36,985.445892,51.07155709
210,13,4.00,2022-08-27,medium,0747,,14.6,35,1314.613642,38.50375629
211,26,4.00,2022-08-27,medium,0750,,14.6,35,1457.925913,69.18316964
212,26,4.00,2022-08-27,medium,0750,,14.6,35,1554.207123,96.98451006
213,16,4.00,2022-08-27,medium,0800,,14.7,35,914.5124018,61.77201124
214,15,4.00,2022-08-27,medium,0803,,14.7,35,1754.537098,105.6422157
215,23,4.00,2022-08-27,high,0805,,14.7,35,1053.853747,77.35194209
216,22,4.00,2022-08-27,high,0808,,14.7,35,945.6046843,
217,29,4.00,2022-08-27,high,0815,,14.8,34,870.6391655,90.27023688
218,30,4.00,2022-08-27,high,0817,,14.9,34,1334.367536,99.49341579
219,24,4.00,2022-08-27,high,0822,,14.6,34,1197.267939,78.92009447
220,25,4.00,2022-08-27,high,0824,,14.6,34,793.9801986,69.63560656
221,21,4.00,2022-08-28,medium,0645,,14.6,33,1645.837984,28.77835465
223,20,4.00,2022-08-28,medium,0652,,14.6,33,1564.243863,43.3192935
224,19,4.00,2022-08-28,medium,0703,,14.5,35,1006.492443,
225,17,4.00,2022-08-28,medium,0704,,14.5,35,1834.598528,71.04861051
226,18,4.00,2022-08-28,medium,0706,,14.5,35,1160.147794,43.13039671
227,14,4.00,2022-08-28,medium,0711,,14.5,35,1453.318481,101.9168041
228,11,4.00,2022-08-28,medium,0713,,14.5,35,1691.946311,144.5399072
229,12,4.00,2022-08-28,medium,0715,,14.7,35,1701.502066,160.0621564
230,38,4.00,2022-08-28,medium,0726,,14.5,35,1150.120743,76.36692914
231,36,4.00,2022-08-28,medium,0728,,14.5,35,898.0495232,68.02932355
235,29,5.00,2022-09-06,high,0320,,13.2,,1097.798628,129.1678745
236,24,5.00,2022-09-06,high,0328,,13.4,33,1006.212052,88.4562958
237,25,5.00,2022-09-06,high,0329,,13.4,33,823.1047757,82.08531956
238,21,5.00,2022-09-06,medium,0337,,13.8,32,1303.686161,136.2313491
239,20,5.00,2022-09-06,medium,0339,,13.8,32,912.0980187,67.37398039
240,26,5.00,2022-09-06,medium,0347,,14,32,1300.687561,100.3160106
241,16,5.00,2022-09-06,medium,0350,,14.1,33,1285.043584,59.83489987
242,18,5.00,2022-09-06,medium,0402,,14.4,35,1447.401561,99.85584244
243,17,5.00,2022-09-06,medium,0403,,14.4,35,1399.51213,167.1051533
244,11,5.00,2022-09-06,medium,0410,,,,1450.145815,65.68811022
245,23,5.00,2022-09-06,high,0416,,,,1075.135026,72.98856505
246,22,5.00,2022-09-06,high,0417,,,,887.2664365,73.63791797
247,1,5.00,2022-09-07,low,0418,,13.9,33,217.6997565,16.85717233
248,2,5.00,2022-09-07,low,0420,,13.9,33,803.4519151,80.95979631
249,3,5.00,2022-09-07,low,0430,14.1,,,1797.282346,142.2600576
250,4,5.00,2022-09-07,low,0433,14.2,,,1533.688186,126.1639657
251,5,5.00,2022-09-07,low,0450,,13.8,34,1337.351137,119.3824439
252,6,5.00,2022-09-07,low,0452,,13.8,34,1505.994425,104.3285485
253,8,5.00,2022-09-07,low,0457,,13.9,34,664.406222,64.10179962
254,7,5.00,2022-09-07,low,0457,,13.9,34,796.7244267,48.98717555
255,10,5.00,2022-09-07,low,0510,,,,1608.296112,61.76437069
256,9,5.00,2022-09-07,low,0512,,,,1394.994699,110.1868551
257,19,5.00,2022-09-07,medium,0518,,,,1455.891915,77.87278195
258,12,5.00,2022-09-07,medium,0522,,,,1866.33518,168.4474166
259,13,5.00,2022-09-07,medium,0525,,,,1785.829846,78.19664075
260,27,5.00,2022-09-07,medium,0531,,,,733.5173908,63.0435434
261,15,5.00,2022-09-07,medium,0544,,,,1385.87175,94.81069773
262,37,5.00,2022-09-07,medium,0550,,13.2,35,979.9608551,108.3307674
263,7,6.00,2022-09-23,low,,,15.2,35,769.4503059,22.81507648
264,7,6.00,2022-09-23,low,,,15.2,35,424.6131337,28.56676524
265,18,6.00,2022-09-23,medium,,,15.1,35,900.9927064,53.08326742
266,18,6.00,2022-09-23,medium,,,15.1,35,1008.011481,73.75127885
267,11,6.00,2022-09-23,medium,,14.3,,,1499.541668,81.84093023
268,11,6.00,2022-09-23,medium,,14.3,,,1483.041915,107.0692232
269,13,6.00,2022-09-23,medium,,13.5,,,1305.759518,54.35578529
270,13,6.00,2022-09-23,medium,,13.5,,,2040.315977,90.51211592
271,26,6.00,2022-09-23,medium,,,14.6,35,827.7738257,56.08104807
272,15,6.00,2022-09-23,medium,,,14.6,35,1708.113254,83.27417787
273,15,6.00,2022-09-23,medium,,,14.6,35,1448.537525,86.28781156
274,21,6.00,2022-09-23,medium,,,14.6,35,978.0082324,56.58643957
275,16,6.00,2022-09-23,medium,,,14.6,35,1315.979124,52.00187434
276,21,6.00,2022-09-23,medium,,,14.6,35,1063.345235,30.8010586
277,21,6.00,2022-09-23,medium,,,14.6,35,1010.51965,20.80001443
278,20,6.00,2022-09-23,medium,,,,,1538.686503,22.22436781
279,20,6.00,2022-09-23,medium,,,,,1301.192543,20.73901497
280,29,6.00,2022-09-23,high,,,14.3,35,1614.140776,72.40073718
281,29,6.00,2022-09-23,high,,,14.3,35,1429.4157,50.00427379
283,23,6.00,2022-09-23,high,,,14.3,35,1406.477664,85.26931357
284,22,6.00,2022-09-23,high,,,14.3,35,1597.732399,77.79735582
285,22,6.00,2022-09-23,high,,,14.3,35,1795.315725,89.03994718
286,22,6.00,2022-09-23,high,,,14.3,35,1255.640312,73.9564712
287,24,6.00,2022-09-23,high,,,14.1,36,875.8766815,52.63788841
288,2,6.00,2022-09-24,low,,,,,722.0389542,44.86763307
289,1,6.00,2022-09-24,low,,,,,340.5015328,29.61544327
290,3,6.00,2022-09-24,low,,,,,1127.74238,47.55282561
291,3,6.00,2022-09-24,low,,,,,1414.637677,94.63541423
292,6,6.00,2022-09-24,low,,,,,1747.127108,113.9692916
294,9,6.00,2022-09-24,low,,,,,930.5629871,20.54598188
295,9,6.00,2022-09-24,low,,,,,827.5586955,14.1945818
296,9,6.00,2022-09-24,low,,,,,1401.340556,82.52903478
297,18,6.00,2022-09-24,medium,,,,,960.4066158,61.4625861
298,18,6.00,2022-09-24,medium,,,,,1160.626731,71.67220298
299,12,6.00,2022-09-24,medium,,,,,1457.411896,137.8318687
300,14,6.00,2022-09-24,medium,,,,,911.4330822,40.21177395
301,14,6.00,2022-09-24,medium,,,,,1337.152523,78.78668091
302,8,6.00,2022-09-24,low,,,,,548.2794623,40.57869875
303,8,6.00,2022-09-24,low,,,,,423.2245419,47.44558685
304,24,6.00,2022-09-24,high,,,14.3,35,704.0054742,38.44232777
305,24,6.00,2022-09-24,high,,,14.3,35,790.8551844,51.33669821
306,27,6.00,2022-09-24,medium,,,,,1236.074816,97.55175848
307,30,6.00,2022-09-24,high,,,,,385.2857751,32.08724287
308,30,6.00,2022-09-24,high,,,,,354.5750495,27.23055202
309,18,7.00,2022-10-10,medium,,,15.4,34,1845.329699,
310,17,7.00,2022-10-10,medium,,,15.4,34,1443.953612,
311,19,7.00,2022-10-10,medium,,,15.4,34,1805.194471,
312,19,7.00,2022-10-10,medium,,,15.4,34,2066.247507,
313,14,7.00,2022-10-10,medium,,,,,1441.418135,
314,27,7.00,2022-10-10,medium,,,15,36,929.9929867,
315,27,7.00,2022-10-10,medium,,,15,36,607.9832594,
316,10,7.00,2022-10-10,low,,,,,1930.571964,
317,10,7.00,2022-10-10,low,,,,,1482.885311,
318,8,7.00,2022-10-10,low,,,15.2,35,755.6019542,
319,8,7.00,2022-10-10,low,,,15.2,35,343.3438473,
320,8,7.00,2022-10-10,low,,,15.2,35,516.8234308,
321,5,7.00,2022-10-10,low,,,15.3,35,894.669545,
322,5,7.00,2022-10-10,low,,,15.3,35,1105.10316,
323,6,7.00,2022-10-10,low,,,,,1228.495671,
324,6,7.00,2022-10-10,low,,,,,1352.180933,
325,21,7.00,2022-10-10,medium,,,,,525.6788721,
326,20,7.00,2022-10-10,medium,,,,,773.0374108,
327,2,7.00,2022-10-11,low,,,,,313.538133,
328,2,7.00,2022-10-11,low,,,,,264.3802593,
329,1,7.00,2022-10-11,low,,,,,276.1378438,
330,1,7.00,2022-10-11,low,,,,,189.65231,
331,4,7.00,2022-10-11,low,,,15,35,310.6917216,
332,3,7.00,2022-10-11,low,,,15,35,510.889616,
333,13,7.00,2022-10-11,medium,,14,,,1415.104696,
334,14,7.00,2022-10-11,medium,,,13.7,,1402.623779,
335,14,7.00,2022-10-11,medium,,,13.7,,1242.779813,
336,14,7.00,2022-10-11,medium,,,13.7,,867.9373982,
337,,7.00,2022-10-11,,,,,,,
338,15,7.00,2022-10-11,medium,,,14.7,35,1742.503542,
339,12,7.00,2022-10-11,medium,,,14.9,35,2042.56377,
340,12,7.00,2022-10-11,medium,,,14.9,35,2038.521491,
341,12,7.00,2022-10-11,medium,,,14.9,35,1262.222926,
342,7,7.00,2022-10-11,low,,,14.9,35,283.7822509,
343,7,7.00,2022-10-11,low,,,14.9,35,792.368594,
344,7,7.00,2022-10-11,low,,,14.9,35,821.4901776,
345,8,7.00,2022-10-11,low,,,14.9,35,635.5652703,
346,8,7.00,2022-10-11,low,,,14.9,35,747.3719665,
347,18,7.00,2022-10-11,medium,,,,,1417.767301,
348,18,7.00,2022-10-11,medium,,,,,,
349,18,7.00,2022-10-11,medium,,,,,1351.409355,
350,19,7.00,2022-10-11,medium,,,,,1394.456855,
351,16,7.00,2022-10-11,medium,,,,,1695.489317,
352,29,7.00,2022-10-11,high,,,14.7,35,,
353,23,7.00,2022-10-11,high,,,,,1358.596773,
354,23,7.00,2022-10-11,high,,,,,1399.044839,
355,22,7.00,2022-10-11,high,,,,,1607.360292,
356,33,7.00,2022-10-11,high,,,,,1218.376303,
357,34,7.00,2022-10-11,high,,,,,942.4768582,
358,34,7.00,2022-10-11,high,,,,,745.7445128,
359,30,7.00,2022-10-11,high,,,,,374.8504759,
360,31,8.00,2022-10-27,high,,,,,2025.955278,87.19582253
361,3,8.00,2022-10-27,low,,,,,1234.101751,92.73401103
362,4,8.00,2022-10-27,low,,,,,1099.829438,88.50494488
363,28,8.00,2022-10-27,low,,,,,1171.279692,59.08882911
364,27,8.00,2022-10-27,medium,,,,,544.2055361,52.56836034
365,18,8.00,2022-10-27,medium,,,,,1568.482725,43.53968646
366,17,8.00,2022-10-27,medium,,,,,1955.767861,50.35395759
367,19,8.00,2022-10-27,medium,,,,,2867.055048,159.2082059
368,11,8.00,2022-10-27,medium,,,,,1309.792566,68.0151266
369,13,8.00,2022-10-27,medium,,,,,2029.670912,94.76226563
370,14,8.00,2022-10-27,medium,,,,,897.8593733,55.1896633
371,16,8.00,2022-10-27,medium,,,,,1178.850819,65.87436135
372,21,8.00,2022-10-27,medium,,,,,1829.823818,58.70415801
373,22,8.00,2022-10-27,high,,,,,1271.792377,87.97400892
374,29,8.00,2022-10-27,high,,,,,1729.278544,117.3122808
375,30,8.00,2022-10-27,high,,,,,760.06448,69.21245811
376,24,8.00,2022-10-27,high,,,,,660.2207829,40.75058104
377,35,8.00,2022-10-27,high,,,,,1295.78555,60.8650827
378,33,8.00,2022-10-27,high,,,,,1088.563775,72.72884968
380,34,8.00,2022-10-27,high,,,,,985.3528206,63.57721866
381,25,8.00,2022-10-28,high,,,,,879.9427869,42.00529412
382,30,8.00,2022-10-28,high,,,,,535.567551,15.92960174
383,34,9.00,2022-11-08,high,,,,,1232.991027,53.55777677
384,33,9.00,2022-11-08,high,,,,,741.887786,46.96255123
385,31,9.00,2022-11-08,high,,,12.3,35,1062.602928,33.35875563
386,24,9.00,2022-11-08,high,,,12.5,35,1391.031432,71.14582553
387,25,9.00,2022-11-08,high,,,12.5,35,731.1956102,36.64165359
388,30,9.00,2022-11-08,high,,,12.4,35,1026.462963,10.67869451
389,22,9.00,2022-11-08,high,,,,,1542.060534,72.92798179
390,20,9.00,2022-11-08,medium,,,,,2297.227327,32.61539995
391,21,9.00,2022-11-08,medium,,,,,2320.294222,19.25717701
392,16,9.00,2022-11-08,medium,,,,,2110.092669,40.37002821
393,15,9.00,2022-11-08,medium,,,,,1808.537459,86.79401167
394,26,9.00,2022-11-08,medium,,,,,2743.691985,21.52001916
395,36,9.00,2022-11-08,medium,,,,,956.8822212,64.74014673
396,37,9.00,2022-11-08,medium,,,,,1940.727933,130.5843233
398,27,9.00,2022-11-08,medium,,,,,374.5380571,44.08894682
399,13,9.00,2022-11-08,medium,,,,,2078.91862,108.8962023
400,14,9.00,2022-11-08,medium,,,,,1204.360515,59.30051461
401,18,9.00,2022-11-08,medium,,,,,1323.305956,55.06842556
402,17,9.00,2022-11-08,medium,,,,,1813.174183,70.65189405
403,19,9.00,2022-11-08,medium,,,,,1369.25408,22.1143604
404,11,9.00,2022-11-08,medium,,,,,1514.992527,94.0379872
405,12,9.00,2022-11-08,medium,,,,,1881.818396,85.01443095
406,7,9.00,2022-11-08,low,,,,,868.1679635,95.00527796
407,8,9.00,2022-11-08,low,,,,,680.7971674,16.68766465
408,5,9.00,2022-11-08,low,,,,,1528.921866,114.1934387
409,6,9.00,2022-11-08,low,,,,,2474.219988,183.0522127
410,28,9.00,2022-11-08,low,,,,,2183.553211,144.4273429
411,3,9.00,2022-11-08,low,,,,,969.0798475,88.39319134
412,4,9.00,2022-11-08,low,,,,,1158.637646,26.11254599
413,34,10.00,2022-11-23,high,,,12.2,34,620.8516181,46.38237373
414,24,10.00,2022-11-23,high,,,12.1,35,646.0929738,74.29166504
415,25,10.00,2022-11-23,high,,,,,302.7072013,34.2146212
416,29,10.00,2022-11-23,high,,12.2,,,693.2241749,73.48635152
417,30,10.00,2022-11-23,high,,12.2,,,835.2343497,21.2625648
418,31,10.00,2022-11-23,high,,,,,950.0308844,79.1128648
419,20,10.00,2022-11-23,medium,,12.2,,,848.6248642,111.8635266
420,16,10.00,2022-11-23,medium,,12.3,,,696.1621658,60.60718833
421,26,10.00,2022-11-23,medium,,,12.7,35,929.3021607,79.52643473
422,14,10.00,2022-11-23,medium,,,,,851.4468041,65.90569994
423,19,10.00,2022-11-23,medium,,,12.3,35,718.7450067,96.21460267
424,17,10.00,2022-11-23,medium,,,12.3,35,846.6181461,123.2943675
425,18,10.00,2022-11-23,medium,,,12.3,35,0.0002872063145,0.00003974958462
426,11,10.00,2022-11-23,medium,,12.1,,,589.3391024,66.81339273
427,12,10.00,2022-11-23,medium,,12.1,,,708.2287639,87.45985811
428,32,10.00,2022-11-23,medium,,,12.1,35,535.6688745,82.70571815
429,10,10.00,2022-11-23,low,,,12.3,36,1028.052187,33.94783701
430,9,10.00,2022-11-23,low,,,12.3,36,686.0080068,81.99000122
431,7,10.00,2022-11-23,low,,,12.2,36,308.7270926,36.47364789
432,8,10.00,2022-11-23,low,,,12.2,36,491.9424977,23.46364154
433,28,10.00,2022-11-23,low,,12.1,,,809.1011515,90.23693582
434,5,10.00,2022-11-23,low,,,12.3,36,991.1115389,128.8009174
435,6,10.00,2022-11-23,low,,,12.3,36,1199.777704,126.2437461
436,3,10.00,2022-11-23,low,,12.1,,,786.2966521,129.6783146
437,4,10.00,2022-11-23,low,,12.3,,,323.9652491,22.91803828
438,35,11.00,2022-12-06,high,,,11.7,34,614.3833251,34.28860603
439,34,11.00,2022-12-06,high,,,11.7,34,496.6591824,47.54823275
440,24,11.00,2022-12-06,high,,,11.5,35,573.6668223,52.42595799
441,25,11.00,2022-12-06,high,,,11.5,35,479.9178232,38.06773178
442,29,11.00,2022-12-06,high,,11.5,,,,71.08755433
443,22,11.00,2022-12-06,high,,11.5,,,663.5140357,50.64964503
444,20,11.00,2022-12-06,medium,,11.7,,,305.8364532,53.66551173
445,21,11.00,2022-12-06,medium,,11.8,,,934.7289179,94.3699727
446,32,11.00,2022-12-06,medium,,,11.7,35,622.1865431,67.45121608
447,16,11.00,2022-12-06,medium,,11.9,,,4957.036316,
448,15,11.00,2022-12-06,medium,,11.8,,,605.0838281,49.38286577
449,27,11.00,2022-12-06,medium,,,,,257.2038929,64.04346878
450,36,11.00,2022-12-06,medium,,,12,36,402.6520535,39.03451547
451,38,11.00,2022-12-06,medium,,,12,36,340.6180168,33.31436788
452,37,11.00,2022-12-06,medium,,,12,36,433.7238204,49.39986173
453,13,11.00,2022-12-06,medium,,12,,,887.3256687,69.385834
454,14,11.00,2022-12-06,medium,,12,,,578.7192684,24.05348764
455,18,11.00,2022-12-06,medium,,,11.8,37,682.1289652,29.91785673
456,17,11.00,2022-12-06,medium,,,11.8,37,429.3164013,68.58795107
457,19,11.00,2022-12-06,medium,,,11.8,37,680.2613795,43.86626731
458,11,11.00,2022-12-06,medium,,12,,,675.6241551,70.07698393
459,12,11.00,2022-12-06,medium,,12,,,1407.143859,111.4525997
460,10,11.00,2022-12-06,low,,,11.9,36,995.1116079,24.30386431
461,9,11.00,2022-12-06,low,,,11.9,36,2.611354912,82.07725487
462,26,11.00,2022-12-06,medium,,,121,35,514.393232,37.44497408
463,7,11.00,2022-12-06,low,,,11.5,38,398.6681545,47.05779555
464,8,11.00,2022-12-06,low,,,11.5,38,463.0180668,37.06008979
465,28,11.00,2022-12-06,low,,11.2,,,864.4252921,75.61953371
466,5,11.00,2022-12-06,low,,,11.7,37,943.8471595,33.4712842
467,6,11.00,2022-12-06,low,,,11.7,37,1006.044024,99.97925156
468,1,11.00,2022-12-06,low,,11.5,,,204.801702,12.20322748
469,2,11.00,2022-12-06,low,,11.5,,,445.9804323,32.19647059
470,23,11.00,2022-12-06,high,,,,,891.9323925,35.50765747
471,31,11.00,2022-12-06,high,,,10.6,35,810.7612067,31.58565699
472,34,12.00,2023-01-06,high,15:37,,12.7,34,596.7348144,38.0928726
473,33,12.00,2023-01-06,high,15:40,,12.7,34,829.8705789,58.12889752
474,25,12.00,2023-01-06,high,15:43,,12.7,34,535.171236,37.50854726
475,24,12.00,2023-01-06,high,15:45,,12.7,34,589.906065,30.23660249
476,32,12.00,2023-01-06,medium,15:50,,12.6,34,419.7350966,5.161832666
477,21,12.00,2023-01-06,medium,15:55,,12.6,34,758.5929799,7.240667778
478,20,12.00,2023-01-06,medium,16:00,,12.6,34,808.481636,52.05288973
479,16,12.00,2023-01-06,medium,16:10,,12.6,34,981.1764524,46.73360041
480,15,12.00,2023-01-06,medium,16:15,,12.6,34,810.4746082,7.428115495
481,26,12.00,2023-01-06,medium,16:20,,12.6,34,756.6722792,38.4533696
482,36,12.00,2023-01-06,medium,16:19,,12.7,34,671.0351862,12.78864696
483,37,12.00,2023-01-06,medium,16:20,,12.7,34,965.3850065,76.37821071
484,38,12.00,2023-01-06,medium,16:21,,12.7,34,471.1284462,37.78884606
485,13,12.00,2023-01-06,medium,16:30,,12.6,34,879.309304,35.65305419
486,14,12.00,2023-01-06,medium,16:33,,12.6,34,887.01324,38.34651543
487,11,12.00,2023-01-06,medium,16:40,,12.6,34,999.0016336,74.09297437
488,12,12.00,2023-01-06,medium,16:41,,12.6,34,635.4320845,47.84920471
489,7,12.00,2023-01-06,low,16:45,,12.6,34,380.0032801,5.216820899
490,8,12.00,2023-01-06,low,16:46,,12.6,34,257.230638,6.082392691
491,5,12.00,2023-01-06,low,16:50,,,,620.2016695,21.25538302
492,6,12.00,2023-01-06,low,16:53,,,,1013.899771,54.64228813
493,18,12.00,2023-01-06,medium,17:00,,,,740.9721988,42.66768495
494,17,12.00,2023-01-06,medium,17:01,,,,477.3018065,20.72396541
495,19,12.00,2023-01-06,medium,17:02,,,,365.382156,8.785923332
496,1,13.00,2023-01-23,low,17:41,11.5,,,260.5163929,2.791186434
497,2,13.00,2023-01-23,low,17:42,11.8,,,371.8066133,17.8504601
498,3,13.00,2023-01-23,low,17:51,10.8,,,503.4211761,46.4726785
499,4,13.00,2023-01-23,low,17:52,10.7,,,203.7160313,15.34335186
500,5,13.00,2023-01-23,low,17:58,,12,35,372.613995,24.74159499
501,6,13.00,2023-01-23,low,17:59,,12,35,1210.141991,77.63707047
502,8,13.00,2023-01-23,low,18:06,,,,349.6498538,19.94992821
503,18,13.00,2023-01-23,medium,18:15,,,,679.3377131,22.0054938
504,17,13.00,2023-01-23,medium,18:16,,,,1142.324366,28.88823732
505,11,13.00,2023-01-23,medium,18:20,,,,962.4380942,51.05625193
506,12,13.00,2023-01-23,medium,18:21,,,,685.8393184,36.71342719
507,26,13.00,2023-01-23,medium,18:25,,,,674.1332379,18.99790294
508,16,13.00,2023-01-23,medium,18:28,,,,693.2448248,7.760468509
