specimen_number,specimen_id,collection_group,date_of_collection,intertidal_zone,time_of_collection,internal_temp(c),pool_temp(c),salinity(ppt),num_cells_per_ug_protein,date_time,doy
336,14.0,7.0,2022-10-11,middle,,,13.7,,867.9373982,2022-10-11,284
338,15.0,7.0,2022-10-11,middle,,,14.7,35.0,1742.503542,2022-10-11,284
339,12.0,7.0,2022-10-11,middle,,,14.9,35.0,2042.56377,2022-10-11,284
340,12.0,7.0,2022-10-11,middle,,,14.9,35.0,2038.521491,2022-10-11,284
341,12.0,7.0,2022-10-11,middle,,,14.9,35.0,1262.222926,2022-10-11,284
342,7.0,7.0,2022-10-11,low,,,14.9,35.0,283.7822509,2022-10-11,284
343,7.0,7.0,2022-10-11,low,,,14.9,35.0,792.368594,2022-10-11,284
344,7.0,7.0,2022-10-11,low,,,14.9,35.0,821.4901776,2022-10-11,284
345,8.0,7.0,2022-10-11,low,,,14.9,35.0,635.5652703,2022-10-11,284
346,8.0,7.0,2022-10-11,low,,,14.9,35.0,747.3719665,2022-10-11,284
347,18.0,7.0,2022-10-11,middle,,,,,1417.767301,2022-10-11,284
349,18.0,7.0,2022-10-11,middle,,,,,1351.409355,2022-10-11,284
350,19.0,7.0,2022-10-11,middle,,,,,1394.456855,2022-10-11,284
351,16.0,7.0,2022-10-11,middle,,,,,1695.489317,2022-10-11,284
353,23.0,7.0,2022-10-11,high,,,,,1358.596773,2022-10-11,284
354,23.0,7.0,2022-10-11,high,,,,,1399.044839,2022-10-11,284
355,22.0,7.0,2022-10-11,high,,,,,1607.360292,2022-10-11,284
356,33.0,7.0,2022-10-11,high,,,,,1218.376303,2022-10-11,284
357,34.0,7.0,2022-10-11,high,,,,,942.4768582,2022-10-11,284
358,34.0,7.0,2022-10-11,high,,,,,745.7445128,2022-10-11,284
359,30.0,7.0,2022-10-11,high,,,,,374.8504759,2022-10-11,284
360,31.0,8.0,2022-10-27,high,,,,,2025.955278,2022-10-27,300
361,3.0,8.0,2022-10-27,low,,,,,1234.101751,2022-10-27,300
362,4.0,8.0,2022-10-27,low,,,,,1099.829438,2022-10-27,300
363,28.0,8.0,2022-10-27,low,,,,,1171.279692,2022-10-27,300
364,27.0,8.0,2022-10-27,middle,,,,,544.2055361,2022-10-27,300
365,18.0,8.0,2022-10-27,middle,,,,,1568.482725,2022-10-27,300
366,17.0,8.0,2022-10-27,middle,,,,,1955.767861,2022-10-27,300
367,19.0,8.0,2022-10-27,middle,,,,,2867.055048,2022-10-27,300
368,11.0,8.0,2022-10-27,middle,,,,,1309.792566,2022-10-27,300
369,13.0,8.0,2022-10-27,middle,,,,,2029.670912,2022-10-27,300
370,14.0,8.0,2022-10-27,middle,,,,,897.8593733,2022-10-27,300
371,16.0,8.0,2022-10-27,middle,,,,,1178.850819,2022-10-27,300
372,21.0,8.0,2022-10-27,middle,,,,,1829.823818,2022-10-27,300
373,22.0,8.0,2022-10-27,high,,,,,1271.792377,2022-10-27,300
374,29.0,8.0,2022-10-27,high,,,,,1729.278544,2022-10-27,300
375,30.0,8.0,2022-10-27,high,,,,,760.06448,2022-10-27,300
376,24.0,8.0,2022-10-27,high,,,,,660.2207829,2022-10-27,300
377,35.0,8.0,2022-10-27,high,,,,,1295.78555,2022-10-27,300
378,33.0,8.0,2022-10-27,high,,,,,1088.563775,2022-10-27,300
380,34.0,8.0,2022-10-27,high,,,,,985.3528206,2022-10-27,300
381,25.0,8.0,2022-10-28,high,,,,,879.9427869,2022-10-28,301
382,30.0,8.0,2022-10-28,high,,,,,535.567551,2022-10-28,301
383,34.0,9.0,2022-11-08,high,,,,,1232.991027,2022-11-08,312
384,33.0,9.0,2022-11-08,high,,,,,741.887786,2022-11-08,312
385,31.0,9.0,2022-11-08,high,,,12.3,35.0,1062.602928,2022-11-08,312
386,24.0,9.0,2022-11-08,high,,,12.5,35.0,1391.031432,2022-11-08,312
387,25.0,9.0,2022-11-08,high,,,12.5,35.0,731.1956102,2022-11-08,312
388,30.0,9.0,2022-11-08,high,,,12.4,35.0,1026.462963,2022-11-08,312
389,22.0,9.0,2022-11-08,high,,,,,1542.060534,2022-11-08,312
390,20.0,9.0,2022-11-08,middle,,,,,2297.227327,2022-11-08,312
391,21.0,9.0,2022-11-08,middle,,,,,2320.294222,2022-11-08,312
392,16.0,9.0,2022-11-08,middle,,,,,2110.092669,2022-11-08,312
393,15.0,9.0,2022-11-08,middle,,,,,1808.537459,2022-11-08,312
394,26.0,9.0,2022-11-08,middle,,,,,2743.691985,2022-11-08,312
395,36.0,9.0,2022-11-08,middle,,,,,956.8822212,2022-11-08,312
396,37.0,9.0,2022-11-08,middle,,,,,1940.727933,2022-11-08,312
398,27.0,9.0,2022-11-08,middle,,,,,374.5380571,2022-11-08,312
399,13.0,9.0,2022-11-08,middle,,,,,2078.91862,2022-11-08,312
400,14.0,9.0,2022-11-08,middle,,,,,1204.360515,2022-11-08,312
401,18.0,9.0,2022-11-08,middle,,,,,1323.305956,2022-11-08,312
402,17.0,9.0,2022-11-08,middle,,,,,1813.174183,2022-11-08,312
403,19.0,9.0,2022-11-08,middle,,,,,1369.25408,2022-11-08,312
404,11.0,9.0,2022-11-08,middle,,,,,1514.992527,2022-11-08,312
405,12.0,9.0,2022-11-08,middle,,,,,1881.818396,2022-11-08,312
406,7.0,9.0,2022-11-08,low,,,,,868.1679635,2022-11-08,312
407,8.0,9.0,2022-11-08,low,,,,,680.7971674,2022-11-08,312
408,5.0,9.0,2022-11-08,low,,,,,1528.921866,2022-11-08,312
409,6.0,9.0,2022-11-08,low,,,,,2474.219988,2022-11-08,312
410,28.0,9.0,2022-11-08,low,,,,,2183.553211,2022-11-08,312
411,3.0,9.0,2022-11-08,low,,,,,969.0798475,2022-11-08,312
412,4.0,9.0,2022-11-08,low,,,,,1158.637646,2022-11-08,312
413,34.0,10.0,2022-11-23,high,,,12.2,34.0,620.8516181,2022-11-23,327
414,24.0,10.0,2022-11-23,high,,,12.1,35.0,646.0929738,2022-11-23,327
415,25.0,10.0,2022-11-23,high,,,,,302.7072013,2022-11-23,327
416,29.0,10.0,2022-11-23,high,,12.2,,,693.2241749,2022-11-23,327
417,30.0,10.0,2022-11-23,high,,12.2,,,835.2343497,2022-11-23,327
418,31.0,10.0,2022-11-23,high,,,,,950.0308844,2022-11-23,327
419,20.0,10.0,2022-11-23,middle,,12.2,,,848.6248642,2022-11-23,327
420,16.0,10.0,2022-11-23,middle,,12.3,,,696.1621658,2022-11-23,327
421,26.0,10.0,2022-11-23,middle,,,12.7,35.0,929.3021607,2022-11-23,327
422,14.0,10.0,2022-11-23,middle,,,,,851.4468041,2022-11-23,327
423,19.0,10.0,2022-11-23,middle,,,12.3,35.0,718.7450067,2022-11-23,327
424,17.0,10.0,2022-11-23,middle,,,12.3,35.0,846.6181461,2022-11-23,327
425,18.0,10.0,2022-11-23,middle,,,12.3,35.0,0.0002872063145,2022-11-23,327
426,11.0,10.0,2022-11-23,middle,,12.1,,,589.3391024,2022-11-23,327
427,12.0,10.0,2022-11-23,middle,,12.1,,,708.2287639,2022-11-23,327
428,32.0,10.0,2022-11-23,middle,,,12.1,35.0,535.6688745,2022-11-23,327
429,10.0,10.0,2022-11-23,low,,,12.3,36.0,1028.052187,2022-11-23,327
430,9.0,10.0,2022-11-23,low,,,12.3,36.0,686.0080068,2022-11-23,327
431,7.0,10.0,2022-11-23,low,,,12.2,36.0,308.7270926,2022-11-23,327
432,8.0,10.0,2022-11-23,low,,,12.2,36.0,491.9424977,2022-11-23,327
433,28.0,10.0,2022-11-23,low,,12.1,,,809.1011515,2022-11-23,327
434,5.0,10.0,2022-11-23,low,,,12.3,36.0,991.1115389,2022-11-23,327
435,6.0,10.0,2022-11-23,low,,,12.3,36.0,1199.777704,2022-11-23,327
436,3.0,10.0,2022-11-23,low,,12.1,,,786.2966521,2022-11-23,327
437,4.0,10.0,2022-11-23,low,,12.3,,,323.9652491,2022-11-23,327
438,35.0,11.0,2022-12-06,high,,,11.7,34.0,614.3833251,2022-12-06,340
439,34.0,11.0,2022-12-06,high,,,11.7,34.0,496.6591824,2022-12-06,340
440,24.0,11.0,2022-12-06,high,,,11.5,35.0,573.6668223,2022-12-06,340
441,25.0,11.0,2022-12-06,high,,,11.5,35.0,479.9178232,2022-12-06,340
443,22.0,11.0,2022-12-06,high,,11.5,,,663.5140357,2022-12-06,340
444,20.0,11.0,2022-12-06,middle,,11.7,,,305.8364532,2022-12-06,340
445,21.0,11.0,2022-12-06,middle,,11.8,,,934.7289179,2022-12-06,340
446,32.0,11.0,2022-12-06,middle,,,11.7,35.0,622.1865431,2022-12-06,340
448,15.0,11.0,2022-12-06,middle,,11.8,,,605.0838281,2022-12-06,340
449,27.0,11.0,2022-12-06,middle,,,,,257.2038929,2022-12-06,340
450,36.0,11.0,2022-12-06,middle,,,12.0,36.0,402.6520535,2022-12-06,340
451,38.0,11.0,2022-12-06,middle,,,12.0,36.0,340.6180168,2022-12-06,340
452,37.0,11.0,2022-12-06,middle,,,12.0,36.0,433.7238204,2022-12-06,340
453,13.0,11.0,2022-12-06,middle,,12.0,,,887.3256687,2022-12-06,340
454,14.0,11.0,2022-12-06,middle,,12.0,,,578.7192684,2022-12-06,340
455,18.0,11.0,2022-12-06,middle,,,11.8,37.0,682.1289652,2022-12-06,340
456,17.0,11.0,2022-12-06,middle,,,11.8,37.0,429.3164013,2022-12-06,340
457,19.0,11.0,2022-12-06,middle,,,11.8,37.0,680.2613795,2022-12-06,340
458,11.0,11.0,2022-12-06,middle,,12.0,,,675.6241551,2022-12-06,340
459,12.0,11.0,2022-12-06,middle,,12.0,,,1407.143859,2022-12-06,340
460,10.0,11.0,2022-12-06,low,,,11.9,36.0,995.1116079,2022-12-06,340
461,9.0,11.0,2022-12-06,low,,,11.9,36.0,2.611354912,2022-12-06,340
462,26.0,11.0,2022-12-06,middle,,,121.0,35.0,514.393232,2022-12-06,340
463,7.0,11.0,2022-12-06,low,,,11.5,38.0,398.6681545,2022-12-06,340
464,8.0,11.0,2022-12-06,low,,,11.5,38.0,463.0180668,2022-12-06,340
465,28.0,11.0,2022-12-06,low,,11.2,,,864.4252921,2022-12-06,340
466,5.0,11.0,2022-12-06,low,,,11.7,37.0,943.8471595,2022-12-06,340
467,6.0,11.0,2022-12-06,low,,,11.7,37.0,1006.044024,2022-12-06,340
468,1.0,11.0,2022-12-06,low,,11.5,,,204.801702,2022-12-06,340
469,2.0,11.0,2022-12-06,low,,11.5,,,445.9804323,2022-12-06,340
470,23.0,11.0,2022-12-06,high,,,,,891.9323925,2022-12-06,340
471,31.0,11.0,2022-12-06,high,,,10.6,35.0,810.7612067,2022-12-06,340
472,34.0,12.0,2023-01-06,high,15:37,,12.7,34.0,596.7348144,2023-01-06,6
473,33.0,12.0,2023-01-06,high,15:40,,12.7,34.0,829.8705789,2023-01-06,6
474,25.0,12.0,2023-01-06,high,15:43,,12.7,34.0,535.171236,2023-01-06,6
475,24.0,12.0,2023-01-06,high,15:45,,12.7,34.0,589.906065,2023-01-06,6
476,32.0,12.0,2023-01-06,middle,15:50,,12.6,34.0,419.7350966,2023-01-06,6
477,21.0,12.0,2023-01-06,middle,15:55,,12.6,34.0,758.5929799,2023-01-06,6
478,20.0,12.0,2023-01-06,middle,16:00,,12.6,34.0,808.481636,2023-01-06,6
479,16.0,12.0,2023-01-06,middle,16:10,,12.6,34.0,981.1764524,2023-01-06,6
480,15.0,12.0,2023-01-06,middle,16:15,,12.6,34.0,810.4746082,2023-01-06,6
481,26.0,12.0,2023-01-06,middle,16:20,,12.6,34.0,756.6722792,2023-01-06,6
482,36.0,12.0,2023-01-06,middle,16:19,,12.7,34.0,671.0351862,2023-01-06,6
483,37.0,12.0,2023-01-06,middle,16:20,,12.7,34.0,965.3850065,2023-01-06,6
484,38.0,12.0,2023-01-06,middle,16:21,,12.7,34.0,471.1284462,2023-01-06,6
485,13.0,12.0,2023-01-06,middle,16:30,,12.6,34.0,879.309304,2023-01-06,6
486,14.0,12.0,2023-01-06,middle,16:33,,12.6,34.0,887.01324,2023-01-06,6
487,11.0,12.0,2023-01-06,middle,16:40,,12.6,34.0,999.0016336,2023-01-06,6
488,12.0,12.0,2023-01-06,middle,16:41,,12.6,34.0,635.4320845,2023-01-06,6
489,7.0,12.0,2023-01-06,low,16:45,,12.6,34.0,380.0032801,2023-01-06,6
490,8.0,12.0,2023-01-06,low,16:46,,12.6,34.0,257.230638,2023-01-06,6
491,5.0,12.0,2023-01-06,low,16:50,,,,620.2016695,2023-01-06,6
492,6.0,12.0,2023-01-06,low,16:53,,,,1013.899771,2023-01-06,6
493,18.0,12.0,2023-01-06,middle,17:00,,,,740.9721988,2023-01-06,6
494,17.0,12.0,2023-01-06,middle,17:01,,,,477.3018065,2023-01-06,6
495,19.0,12.0,2023-01-06,middle,17:02,,,,365.382156,2023-01-06,6
496,1.0,13.0,2023-01-23,low,17:41,11.5,,,260.5163929,2023-01-23,23
497,2.0,13.0,2023-01-23,low,17:42,11.8,,,371.8066133,2023-01-23,23
498,3.0,13.0,2023-01-23,low,17:51,10.8,,,503.4211761,2023-01-23,23
499,4.0,13.0,2023-01-23,low,17:52,10.7,,,203.7160313,2023-01-23,23
500,5.0,13.0,2023-01-23,low,17:58,,12.0,35.0,372.613995,2023-01-23,23
501,6.0,13.0,2023-01-23,low,17:59,,12.0,35.0,1210.141991,2023-01-23,23
502,8.0,13.0,2023-01-23,low,18:06,,,,349.6498538,2023-01-23,23
503,18.0,13.0,2023-01-23,middle,18:15,,,,679.3377131,2023-01-23,23
504,17.0,13.0,2023-01-23,middle,18:16,,,,1142.324366,2023-01-23,23
505,11.0,13.0,2023-01-23,middle,18:20,,,,962.4380942,2023-01-23,23
506,12.0,13.0,2023-01-23,middle,18:21,,,,685.8393184,2023-01-23,23
507,26.0,13.0,2023-01-23,middle,18:25,,,,674.1332379,2023-01-23,23
508,16.0,13.0,2023-01-23,middle,18:28,,,,693.2448248,2023-01-23,23
509,32.0,13.0,2023-01-23,middle,18:30,,,,553.6968363,2023-01-23,23
510,34.0,13.0,2023-01-23,high,18:40,,,,462.8521932,2023-01-23,23
511,38.0,13.0,2023-01-23,middle,18:50,,10.4,37.0,334.4975974,2023-01-23,23
512,36.0,13.0,2023-01-23,middle,18:55,,10.4,37.0,536.3701722,2023-01-23,23
514,31.0,14.0,2023-02-06,high,16:25,,,,542.2120396,2023-02-06,37
515,34.0,14.0,2023-02-06,high,16:31,,,,332.2941045,2023-02-06,37
516,35.0,14.0,2023-02-06,high,16:32,,,,507.5047232,2023-02-06,37
517,24.0,14.0,2023-02-06,high,16:38,,,,363.3248389,2023-02-06,37
518,25.0,14.0,2023-02-06,high,16:39,,,,586.0133557,2023-02-06,37
519,32.0,14.0,2023-02-06,middle,16:45,,,,687.6084892,2023-02-06,37
520,26.0,14.0,2023-02-06,middle,16:50,,,,480.139567,2023-02-06,37
521,16.0,14.0,2023-02-06,middle,17:08,,,,196.5844035,2023-02-06,37
522,15.0,14.0,2023-02-06,middle,16:09,,,,346.8742336,2023-02-06,37
523,14.0,14.0,2023-02-06,middle,17:11,,,,883.2974765,2023-02-06,37
524,38.0,14.0,2023-02-06,middle,17:20,,,,410.1456712,2023-02-06,37
525,36.0,14.0,2023-02-06,middle,17:22,,,,554.0213055,2023-02-06,37
526,37.0,14.0,2023-02-06,middle,17:23,,,,666.808936,2023-02-06,37
527,12.0,14.0,2023-02-06,middle,17:27,,,,881.179603,2023-02-06,37
528,18.0,14.0,2023-02-06,middle,17:35,,,,841.8646734,2023-02-06,37
529,19.0,14.0,2023-02-06,middle,17:36,,,,453.1920794,2023-02-06,37
530,7.0,14.0,2023-02-06,low,17:40,,,,232.2816064,2023-02-06,37
531,8.0,14.0,2023-02-06,low,17:40,,,,266.1486865,2023-02-06,37
532,5.0,14.0,2023-02-06,low,17:45,,,,588.2343364,2023-02-06,37
533,6.0,14.0,2023-02-06,low,17:45,,,,938.5254829,2023-02-06,37
534,28.0,14.0,2023-02-06,low,17:47,,,,823.9664071,2023-02-06,37
535,10.0,14.0,2023-02-06,low,17:51,,,,884.1452697,2023-02-06,37
536,9.0,14.0,2023-02-06,low,17:51,,,,494.1728534,2023-02-06,37
537,,15.0,2023-02-18,high,14:30,,,,710.3358203,2023-02-18,49
538,34.0,15.0,2023-02-18,high,14:34,,,,559.4576987,2023-02-18,49
